iter	RMSE
0	3.754993874
1	3.60091269
2	3.465211401
3	3.339917988
4	3.256714158
5	3.168194033
6	3.092951893
7	3.02247066
8	2.958711768
9	2.902762764
10	2.850498259
11	2.804582965
12	2.770342975
13	2.740232168
14	2.710363806
15	2.684306885
16	2.662880921
17	2.641168408
18	2.623071186
19	2.606883313
20	2.592925258
21	2.580884992
22	2.568156512
23	2.556646333
24	2.547531907
25	2.539874912
26	2.528921855
27	2.519394384
28	2.51128079
29	2.504648891
30	2.498474822
31	2.492916153
32	2.48733059
33	2.481270286
34	2.475047429
35	2.469850707
36	2.465153664
37	2.461576934
38	2.458044709
39	2.453444893
40	2.450284571
41	2.447096076
42	2.442053005
43	2.438439606
44	2.435541698
45	2.434125852
46	2.429966067
47	2.428309942
48	2.423456337
49	2.421029035
50	2.419551467
51	2.417535897
52	2.414678684
53	2.413254178
54	2.410231076
55	2.407047974
56	2.406097605
57	2.404792971
58	2.404410432
59	2.402369179
60	2.401129981
61	2.399768094
62	2.397534122
63	2.395119144
64	2.390559181
65	2.388282352
66	2.387771611
67	2.387133894
68	2.383539053
69	2.382364631
70	2.381876845
71	2.381357012
72	2.377863542
73	2.375181707
74	2.374604216
75	2.374045802
76	2.373842014
77	2.370701049
78	2.370225572
79	2.36561368
80	2.365081392
81	2.363905968
82	2.363165279
83	2.361020235
84	2.358816878
85	2.358368907
86	2.357533736
87	2.357088171
88	2.356750598
89	2.356130466
90	2.355371775
91	2.355026485
92	2.35306505
93	2.350578158
94	2.350287837
95	2.350088545
96	2.348381955
97	2.347325302
98	2.346548289
99	2.345531513
100	2.344418443
101	2.343191279
102	2.342891216
103	2.342170291
104	2.342000255
105	2.341101133
106	2.340867106
107	2.340666773
108	2.340460494
109	2.340249932
110	2.336963893
111	2.336767083
112	2.334413012
113	2.331599801
114	2.328902237
115	2.328714668
116	2.328445034
117	2.327485597
118	2.327108059
119	2.326626522
120	2.325417888
121	2.325288581
122	2.322933127
123	2.322785829
124	2.320652104
125	2.320504541
126	2.319765022
127	2.318721781
128	2.316902938
