iter	Passed	Remaining
0	203	203520
1	248	123998
2	286	95251
3	320	79875
4	352	70130
5	384	63689
6	415	58918
7	446	55373
8	494	54448
9	544	53939
10	673	60522
11	785	64631
12	901	68438
13	1035	72936
14	1191	78260
15	1238	76139
16	1318	76254
17	1400	76381
18	1479	76367
19	1564	76638
20	1621	75571
21	1662	73886
22	1720	73080
23	1752	71249
24	1779	69386
25	1805	67624
26	1831	65993
27	1869	64886
28	1993	66753
29	2134	69028
30	2251	70363
31	2389	72267
32	2456	71989
33	2537	72094
34	2602	71757
35	2636	70598
36	2675	69628
37	2705	68494
38	2734	67378
39	2762	66308
40	2790	65259
41	2817	64268
42	2844	63307
43	2872	62403
44	2899	61533
45	2945	61078
46	2971	60245
47	2997	59447
48	3033	58870
49	3058	58113
50	3085	57406
51	3112	56745
52	3151	56319
53	3235	56676
54	3277	56305
55	3307	55751
56	3326	55029
57	3362	54612
58	3398	54205
59	3541	55487
60	3683	56695
61	3768	57008
62	3834	57029
63	3913	57232
64	3965	57046
65	4007	56709
66	4023	56032
67	4056	55596
68	4089	55182
69	4151	55149
70	4201	54974
71	4253	54824
72	4283	54396
73	4312	53962
74	4341	53550
75	4369	53123
76	4395	52686
77	4426	52328
78	4441	51778
79	4469	51403
80	4509	51160
81	4536	50791
82	4564	50431
83	4593	50086
84	4621	49744
85	4639	49311
86	4675	49070
87	4703	48748
88	4741	48535
89	4769	48221
90	4797	47921
91	4815	47530
92	4843	47241
93	4922	47444
94	5013	47760
95	5069	47740
96	5108	47553
97	5139	47308
98	5169	47047
99	5208	46874
100	5238	46625
101	5266	46361
102	5293	46101
103	5321	45850
104	5349	45594
105	5387	45437
106	5416	45202
107	5430	44854
108	5450	44551
109	5492	44440
110	5532	44308
111	5564	44114
112	5592	43900
113	5630	43762
114	5667	43618
115	5694	43397
116	5722	43189
117	5756	43024
118	5819	43080
119	5860	42974
120	5888	42775
121	5917	42587
122	5960	42496
123	6042	42690
124	6130	42913
125	6196	42982
126	6258	43022
127	6463	44029
128	6703	45263
