math,physics,chemistry,english,history,timestamp
85,40,70,30,90,07/05/2025 9:00
85,40,70,30,90,07/05/2025 9:05
80,42,70,35,88,07/05/2025 10:00
80,42,70,35,88,07/05/2025 10:15
75,45,68,40,85,07/05/2025 12:00
75,45,68,40,85,07/05/2025 12:30
70,48,68,45,82,07/05/2025 15:00
70,48,68,45,82,07/05/2025 15:10
65,50,67,50,80,07/05/2025 18:00
65,50,67,50,80,07/05/2025 18:20
60,55,67,55,78,08/05/2025 9:00
60,55,67,55,78,08/05/2025 9:30
65,60,66,60,75,08/05/2025 14:00
65,60,66,60,75,08/05/2025 14:15
70,65,66,65,72,09/05/2025 10:00
70,65,66,65,72,09/05/2025 10:30
75,70,65,60,70,09/05/2025 16:00
75,70,65,60,70,09/05/2025 16:10
80,75,65,55,68,10/05/2025 11:00
80,75,65,55,68,10/05/2025 11:20
10,30,10,50,77,07/05/2025 21:03
10,30,10,50,77,07/05/2025 21:06
50,60,100,100,80,2025-05-09 01:34:20
50,60,100,100,80,2025-05-09 12:26:52
50,60,100,100,80,2025-05-09 12:28:56
50,60,100,100,80,2025-05-11 21:36:39
50,60,100,100,80,2025-05-13 22:37:18
50,60,100,100,80,2025-05-13 23:40:38
50,60,100,100,80,2025-05-14 00:17:37
50,60,100,100,80,2025-05-14 11:14:21
50,60,100,100,80,2025-05-14 13:14:22
50,60,100,100,80,2025-05-14 15:11:59
